Data,Non indicizzate,Indicizzate,Impressioni
2026-05-08,,,953
2026-05-09,,,932
2026-05-10,8,53,800
2026-05-11,8,53,875
2026-05-12,8,53,763
2026-05-13,8,53,871
2026-05-14,8,53,881
2026-05-15,8,53,924
2026-05-16,8,53,977
2026-05-17,8,53,897
2026-05-18,8,53,835
2026-05-19,8,53,911
2026-05-20,8,53,994
2026-05-21,8,53,905
2026-05-22,8,53,840
2026-05-23,8,53,888
2026-05-24,8,53,897
2026-05-25,8,53,937
2026-05-26,8,53,925
2026-05-27,8,53,974
2026-05-28,8,53,895
2026-05-29,8,53,802
2026-05-30,8,53,1063
2026-05-31,8,53,953
2026-06-01,8,53,1097
2026-06-02,8,53,862
2026-06-03,8,53,916
2026-06-04,8,53,875
2026-06-05,8,53,983
2026-06-06,8,53,938
2026-06-07,8,53,721
2026-06-08,8,53,691
2026-06-09,8,53,687
2026-06-10,8,53,648
2026-06-11,8,53,777
2026-06-12,8,53,722
2026-06-13,8,53,887
2026-06-14,8,53,765
2026-06-15,8,53,735
2026-06-16,8,53,643
2026-06-17,8,53,634
2026-06-18,8,53,654
2026-06-19,8,53,684
2026-06-20,8,53,738
2026-06-21,8,53,722
2026-06-22,8,53,643
2026-06-23,8,53,705
2026-06-24,8,53,709
2026-06-25,8,53,672
2026-06-26,8,53,786
2026-06-27,8,53,786
2026-06-28,8,53,683
2026-06-29,8,53,705
2026-06-30,8,53,782
2026-07-01,8,53,925
2026-07-02,8,53,1126
2026-07-03,8,53,927
2026-07-04,8,53,874
2026-07-05,8,53,832
2026-07-06,8,53,741
2026-07-07,8,53,755
2026-07-08,8,53,822
2026-07-09,8,53,774
2026-07-10,7,54,723
2026-07-11,7,54,885
2026-07-12,7,54,935
2026-07-13,7,54,855
2026-07-14,7,54,722
2026-07-15,7,54,790
2026-07-16,7,54,773
2026-07-17,7,54,694
2026-07-18,7,54,642
2026-07-19,7,54,657
2026-07-20,7,54,610
2026-07-21,7,54,641
2026-07-22,7,54,769
2026-07-23,7,54,638
