Paese,Clic,Impressioni,CTR,Posizione
Costa Rica,1557,110899,1.4%,7.4
Stati Uniti,121,16770,0.72%,11.39
Regno Unito,54,2272,2.38%,9.43
Spagna,39,1942,2.01%,7.14
Argentina,30,1211,2.48%,6.28
Germania,28,1131,2.48%,8.38
Canada,27,1842,1.47%,9.63
Panama,21,1549,1.36%,7.65
Messico,15,1474,1.02%,6.78
Cile,12,1059,1.13%,6.04
Italia,11,408,2.7%,7.77
Paesi Bassi,10,640,1.56%,7.77
Svizzera,9,349,2.58%,7.19
Brasile,7,506,1.38%,7.61
Perù,6,706,0.85%,6.93
Francia,6,581,1.03%,7.81
Nicaragua,6,417,1.44%,7.06
Guatemala,4,370,1.08%,5.81
Belgio,4,198,2.02%,7.2
Austria,4,133,3.01%,8.3
Giappone,3,209,1.44%,15.34
Colombia,2,558,0.36%,6.24
Uruguay,2,178,1.12%,5.67
Portogallo,2,107,1.87%,7.47
India,1,294,0.34%,13.29
Danimarca,1,156,0.64%,20.68
Polonia,1,118,0.85%,7.81
Irlanda,1,109,0.92%,7.41
Svezia,1,90,1.11%,7.8
Turchia,1,82,1.22%,10.12
Repubblica Ceca,1,79,1.27%,6.51
Bolivia,1,45,2.22%,5.36
Nuova Zelanda,1,34,2.94%,8.56
Croazia,1,23,4.35%,5.61
Slovenia,1,21,4.76%,6.86
Trinidad e Tobago,1,18,5.56%,5
Vietnam,0,255,0%,14.68
Ecuador,0,220,0%,7.55
Honduras,0,183,0%,3.52
El Salvador,0,165,0%,6.07
Indonesia,0,164,0%,11.94
Australia,0,161,0%,9.24
Filippine,0,134,0%,15.63
Cina,0,104,0%,10.52
Portorico,0,101,0%,6.95
Israele,0,95,0%,8.2
Repubblica Dominicana,0,87,0%,7.49
Corea del Sud,0,85,0%,7.19
Tailandia,0,79,0%,11.58
Norvegia,0,76,0%,9.04
Paraguay,0,71,0%,5.01
Bangladesh,0,71,0%,14.46
Venezuela,0,70,0%,6.91
Finlandia,0,54,0%,7.54
Malaysia,0,54,0%,9.09
Pakistan,0,52,0%,11.08
Ucraina,0,51,0%,10.08
Russia,0,48,0%,10.06
Emirati Arabi Uniti,0,46,0%,7.17
Singapore,0,42,0%,7.71
Sudafrica,0,41,0%,10.2
Grecia,0,37,0%,8.57
Marocco,0,35,0%,16.23
Arabia Saudita,0,34,0%,14.18
Taiwan,0,30,0%,7.83
Romania,0,29,0%,6.66
Ungheria,0,29,0%,8.28
Algeria,0,29,0%,17.07
Sri Lanka,0,28,0%,5.36
Iraq,0,28,0%,15.43
Egitto,0,28,0%,19.79
Malta,0,26,0%,6.15
Hong Kong,0,26,0%,6.77
Giamaica,0,25,0%,5.04
Slovacchia,0,20,0%,8.15
Kenya,0,19,0%,6.37
Nigeria,0,19,0%,10.63
Belize,0,18,0%,5.06
Ghana,0,16,0%,5.25
Lituania,0,16,0%,6.5
Giordania,0,16,0%,14
Cuba,0,14,0%,5.5
Bulgaria,0,13,0%,7.77
Iran,0,13,0%,10.15
Etiopia,0,12,0%,11.33
Bielorussia,0,10,0%,6.9
Bahamas,0,10,0%,7.2
Serbia,0,10,0%,10.2
Albania,0,10,0%,11.9
Kuwait,0,9,0%,7.22
Kosovo,0,8,0%,7.25
Tunisia,0,8,0%,12.38
Bermuda,0,7,0%,5
Qatar,0,7,0%,5.29
Siria,0,7,0%,5.43
Cipro,0,7,0%,5.57
Lussemburgo,0,7,0%,6.14
Oman,0,7,0%,8
Estonia,0,7,0%,8.14
Georgia,0,7,0%,9.29
Kazakistan,0,7,0%,9.71
Isole BES,0,6,0%,6.5
Nepal,0,6,0%,8.83
Moldavia,0,6,0%,9.17
Barbados,0,6,0%,9.33
Cambogia,0,6,0%,10
Grenada,0,5,0%,6
Armenia,0,5,0%,6.8
Seychelles,0,5,0%,7
Islanda,0,5,0%,7.2
Uzbekistan,0,5,0%,10.8
Libano,0,5,0%,11.4
Azerbaigian,0,5,0%,13.6
Macedonia,0,5,0%,19
Isole Vergini Statunitensi,0,4,0%,2.5
Andorra,0,4,0%,5.75
Curaçao,0,4,0%,7
Palestina,0,4,0%,7.5
Aruba,0,4,0%,8.25
Lettonia,0,4,0%,8.75
Costa d'Avorio,0,4,0%,11.5
Bosnia ed Erzegovina,0,3,0%,3.33
Senegal,0,3,0%,4.67
Capo Verde,0,3,0%,5
Ruanda,0,3,0%,5
Suriname,0,3,0%,5.33
Maldive,0,3,0%,6
Riunione,0,3,0%,6.67
Brunei,0,3,0%,8.67
Haiti,0,3,0%,9
Martinica,0,3,0%,9.67
Polinesia Francese,0,3,0%,14
Togo,0,3,0%,14.67
Guinea Equatoriale,0,2,0%,2
San Marino,0,2,0%,2
Marianne settentrionali,0,2,0%,5
Tanzania,0,2,0%,6.5
Ciad,0,2,0%,7
Guadalupa,0,2,0%,9.5
Guernsey,0,2,0%,10
Mozambico,0,2,0%,11
Antigua e Barbuda,0,2,0%,11.5
Afghanistan,0,2,0%,13.5
Angola,0,2,0%,18
Bahrein,0,2,0%,20.5
Botswana,0,2,0%,29.5
Gibilterra,0,1,0%,1
Myanmar (Birmania),0,1,0%,1
Mauritius,0,1,0%,1
Mali,0,1,0%,3
Mongolia,0,1,0%,3
Groenlandia,0,1,0%,4
Libia,0,1,0%,4
Malawi,0,1,0%,4
Repubblica Democratica del Congo,0,1,0%,6
Isole Cayman,0,1,0%,6
Figi,0,1,0%,6
Macao,0,1,0%,7
Papua Nuova Guinea,0,1,0%,7
Guiana Francese,0,1,0%,8
Montenegro,0,1,0%,9
Sudan,0,1,0%,9
Sint Maarten,0,1,0%,9
Isole Turks e Caicos,0,1,0%,9
Camerun,0,1,0%,10
Gabon,0,1,0%,10
Anguilla,0,1,0%,11
Uganda,0,1,0%,11
Yemen,0,1,0%,11
Kirghizistan,0,1,0%,12
Isole Salomone,0,1,0%,12
Regione sconosciuta,0,1,0%,14
Isola di Man,0,1,0%,17
Swaziland,0,1,0%,17
Repubblica del Congo,0,1,0%,27
